policy_age_hours,claims_7d,claims_30d,gps_distance_km,account_age_days,city_match,prior_fraud_flags,claim_velocity_zscore,hour_of_day,day_of_week,income_anomaly_score,simultaneous_claims_city,is_fraud
1.76,4,7,66.47,3,0,1,5.606,10,3,0.955,0,1
96.77,2,3,0.48,184,1,0,1.094,11,3,0.104,2,0
129.41,0,1,9.42,106,1,0,0.071,9,2,0.101,0,0
0.46,7,7,126.74,13,0,4,4.706,18,1,0.222,0,1
60.54,1,4,7.67,319,1,0,1.4,18,3,0.154,1,0
145.37,2,6,2.02,37,1,0,-0.572,9,0,0.057,2,0
146.44,2,6,1.41,293,1,0,0.401,8,4,0.131,1,0
1.69,6,9,143.08,6,0,4,4.213,18,6,0.729,0,1
149.77,0,4,0.48,139,1,0,1.254,17,2,0.247,0,0
65.36,1,5,1.17,240,1,0,-0.637,8,2,0.276,1,0
137.68,1,5,2.24,352,1,0,-0.171,9,1,0.15,2,0
101.1,0,0,6.05,144,1,0,0.36,10,5,0.222,1,0
115.43,1,4,1.24,273,1,0,0.377,15,2,0.145,2,0
17.34,0,0,4.07,130,1,0,0.645,11,6,0.257,0,0
165.15,1,1,7.44,190,1,0,-0.734,21,3,0.06,1,0
149.87,1,3,4.71,288,1,0,0.259,11,1,0.187,1,0
157.63,0,4,8.22,280,1,0,0.574,17,6,0.025,1,0
1.03,5,6,118.08,5,0,1,4.159,14,5,0.189,0,1
107.41,2,6,6.01,283,1,0,-0.549,7,5,0.069,1,0
57.21,0,2,8.1,228,1,0,-0.095,15,0,0.28,0,0
63.46,0,3,7.97,74,1,0,-0.445,10,0,0.158,0,0
38.3,2,6,1.65,101,1,0,0.738,19,1,0.242,0,0
148.38,2,6,3.96,274,1,0,-0.487,10,3,0.104,2,0
136.56,0,3,7.58,249,1,0,0.791,11,5,0.243,1,0
89.23,2,4,4.75,104,1,0,-0.129,21,6,0.186,0,0
86.98,1,3,1.77,146,1,0,1.014,19,2,0.243,1,0
167.73,1,4,8.22,361,1,0,0.126,15,1,0.126,0,0
87.51,1,1,2.83,284,1,0,0.945,7,4,0.045,1,0
0.25,6,9,67.42,4,0,3,4.734,12,1,0.307,0,1
44.1,2,5,5.42,298,1,0,-0.785,7,5,0.201,0,0
32.26,1,1,4.52,255,1,0,-0.576,13,1,0.138,0,0
114.0,2,4,6.66,102,1,0,1.467,10,2,0.059,2,0
41.88,2,2,8.76,217,1,0,-0.034,9,3,0.111,0,0
