zone_encoded,vehicle_encoded,platform_encoded,avg_daily_income,month,account_age_days,income_percentile,seasonal_index,actual_claims_month,fair_weekly_premium,is_high_risk
2,3,2,1009.73,7,434,0.649,1.6,0,120.0,1
1,3,1,493.38,3,635,0.412,0.8,1,120.0,0
2,0,0,600.64,8,377,0.85,1.55,1,120.0,1
0,0,4,786.41,4,161,0.16,0.85,0,120.0,0
1,0,3,785.95,8,663,0.378,1.55,1,120.0,1
1,2,0,520.3,7,551,0.539,1.6,3,120.0,1
1,2,3,751.52,9,351,0.803,1.3,1,120.0,0
2,0,0,679.78,5,381,0.184,0.95,2,120.0,1
3,0,3,481.13,5,430,0.224,0.95,3,120.0,1
2,0,0,660.57,5,312,0.816,0.95,1,120.0,1
2,3,1,902.34,3,615,0.32,0.8,0,120.0,1
1,3,0,530.81,10,416,0.799,0.8,0,120.0,0
1,0,4,827.32,7,673,0.562,1.6,0,120.0,1
1,2,3,869.69,6,410,0.122,1.4,0,120.0,0
1,0,4,731.22,7,37,0.059,1.6,0,120.0,1
1,0,2,403.24,6,455,0.913,1.4,2,120.0,1
1,0,2,698.33,5,471,0.602,0.95,0,120.0,0
1,3,1,429.54,4,648,0.999,0.85,0,120.0,0
2,3,1,1062.65,11,96,0.112,0.8,1,120.0,1
0,3,0,678.91,1,460,0.32,0.8,1,120.0,0
2,0,2,466.23,8,395,0.096,1.55,2,120.0,1
1,2,1,638.38,5,16,0.972,0.95,0,120.0,0
2,0,0,224.38,9,567,0.441,1.3,2,120.0,1
1,0,1,419.03,11,473,0.712,0.8,1,120.0,0
2,3,3,296.0,6,167,0.399,1.4,1,120.0,1
1,3,0,638.06,8,729,0.604,1.55,1,120.0,1
0,0,2,388.37,7,643,0.396,1.6,0,120.0,0
3,3,3,860.3,10,399,0.964,0.8,1,120.0,1
2,0,3,582.7,4,564,0.927,0.85,0,120.0,1
1,3,0,200.06,3,605,0.968,0.8,0,120.0,0
2,3,1,546.5,7,388,0.317,1.6,1,120.0,1
2,0,0,859.6,11,270,0.219,0.8,1,120.0,1
3,0,4,719.56,7,562,0.511,1.6,4,120.0,1
2,2,2,655.79,6,607,0.467,1.4,2,120.0,1
1,0,1,755.69,3,332,0.645,0.8,1,120.0,0
1,0,3,434.04,11,359,0.848,0.8,0,120.0,0
0,0,2,697.41,2,433,0.003,0.8,1,120.0,0
0,0,2,614.12,10,519,0.535,0.8,0,120.0,0
2,0,2,681.78,4,705,0.682,0.85,0,120.0,1
2,0,2,461.46,3,171,0.919,0.8,1,120.0,1
2,0,0,616.83,12,278,0.824,0.8,1,120.0,1
2,0,0,725.22,12,642,0.725,0.8,2,120.0,1
2,3,2,403.54,10,124,0.68,0.8,1,120.0,1
2,0,4,582.58,9,82,0.737,1.3,2,120.0,1
2,0,0,459.43,11,707,0.801,0.8,1,120.0,1
3,3,0,485.78,5,283,0.109,0.95,1,120.0,1
1,0,4,784.93,4,576,0.807,0.85,2,120.0,0
1,0,1,332.92,5,705,0.379,0.95,0,120.0,0
2,0,1,481.9,8,645,0.931,1.55,2,120.0,1
1,0,4,897.95,11,151,0.506,0.8,1,120.0,0
1,3,3,1000.59,9,496,0.457,1.3,1,120.0,0
3,2,1,705.87,11,550,0.513,0.8,1,120.0,1
0,0,0,636.74,12,451,0.595,0.8,0,120.0,0
1,0,0,592.78,2,549,0.633,0.8,0,120.0,0
2,2,4,561.76,4,183,0.317,0.85,2,120.0,1
