city,date,month,rainfall_mm,temp_celsius,aqi,trigger_fired
mumbai,2023-01-01,1,3.23,20.52,218.6,0
mumbai,2023-01-02,1,2.85,23.96,275.0,0
mumbai,2023-01-03,1,1.53,21.89,234.9,0
mumbai,2023-01-04,1,0.99,17.35,235.1,0
mumbai,2023-01-05,1,0.91,21.43,230.9,0
mumbai,2023-01-06,1,0.2,20.94,209.3,0
mumbai,2023-01-07,1,1.43,21.02,234.0,0
mumbai,2023-01-08,1,4.34,19.6,307.6,0
mumbai,2023-01-09,1,2.23,18.68,245.1,0
mumbai,2023-01-10,1,3.0,21.22,193.2,0
mumbai,2023-01-11,1,0.64,21.19,258.6,0
mumbai,2023-01-12,1,4.16,20.57,243.0,0
mumbai,2023-01-13,1,0.53,19.36,211.6,0
mumbai,2023-01-14,1,1.04,21.45,240.4,0
mumbai,2023-01-15,1,1.26,22.02,269.5,0
mumbai,2023-01-16,1,4.18,19.12,242.7,0
mumbai,2023-01-17,1,2.88,22.75,246.7,0
mumbai,2023-01-18,1,1.61,22.43,292.7,0
mumbai,2023-01-19,1,2.13,22.81,281.2,0
mumbai,2023-01-20,1,3.94,20.73,298.9,0
mumbai,2023-01-21,1,0.08,22.44,209.4,0
mumbai,2023-01-22,1,4.6,20.36,262.7,0
mumbai,2023-01-23,1,5.93,19.76,245.6,0
mumbai,2023-01-24,1,1.59,22.63,261.9,0
mumbai,2023-01-25,1,1.45,21.83,293.2,0
mumbai,2023-01-26,1,2.57,19.4,242.2,0
mumbai,2023-01-27,1,1.63,17.87,172.3,0
mumbai,2023-01-28,1,2.91,20.11,227.9,0
mumbai,2023-01-29,1,1.98,21.61,223.7,0
mumbai,2023-01-30,1,5.69,16.96,251.2,0
mumbai,2023-01-31,1,2.36,25.73,266.3,0
mumbai,2023-02-01,2,1.83,22.97,54.9,0
mumbai,2023-02-02,2,4.89,24.54,65.9,0
mumbai,2023-02-03,2,5.63,24.21,155.7,0
mumbai,2023-02-04,2,0.93,21.91,141.2,0
mumbai,2023-02-05,2,4.14,19.94,92.1,0
mumbai,2023-02-06,2,0.86,23.99,108.6,0
mumbai,2023-02-07,2,1.98,21.47,80.3,0
mumbai,2023-02-08,2,3.99,20.58,130.9,0
mumbai,2023-02-09,2,10.21,23.56,113.5,0
mumbai,2023-02-10,2,0.71,20.4,108.5,0
mumbai,2023-02-11,2,5.11,23.63,68.6,0
